Lockdown_Off,TRUE,,,,,,,Row Labels, Average of MeanR , Average of CurrentInfections , Average of DailyCases , Average of numberInfected 
,,,,,,,,16-Feb, -   , -   , -   , -   
Row Labels,Average of MeanR,Average of CurrentInfections,Average of DailyCases,Average of numberInfected,,,,17-Feb, -   ,25, -   , -   
277,0,0,0,1497.666667,,,,21-Nov, -   , -   , -   ,"1,498"
278,0,0,0,1497.666667,,,,22-Nov, -   , -   , -   ,"1,498"
279,0,0,0,1497.666667,,,,23-Nov, -   , -   , -   ,"1,498"
280,0,0,0,1497.666667,,,,24-Nov, -   , -   , -   ,"1,498"
281,0,0,0,1497.666667,,,,25-Nov, -   , -   , -   ,"1,498"
282,0,0,0,1497.666667,,,,26-Nov, -   , -   , -   ,"1,498"
283,0,0,0,1497.666667,,,,27-Nov, -   , -   , -   ,"1,498"
284,0,0,0,1497.666667,,,,28-Nov, -   , -   , -   ,"1,498"
285,0,0,0,1497.666667,,,,29-Nov, -   , -   , -   ,"1,498"
286,0,0,0,1497.666667,,,,30-Nov, -   , -   , -   ,"1,498"
287,0,0,0,1497.666667,,,,1-Dec, -   , -   , -   ,"1,498"
288,0,0,0,1497.666667,,,,2-Dec, -   , -   , -   ,"1,498"
289,0,0,0,1497.666667,,,,3-Dec, -   , -   , -   ,"1,498"
290,0,0,0,1497.666667,,,,4-Dec, -   , -   , -   ,"1,498"
291,0,0,0,1497.666667,,,,5-Dec, -   , -   , -   ,"1,498"
292,0,0,0,1497.666667,,,,6-Dec, -   , -   , -   ,"1,498"
293,0,0,0,1497.666667,,,,7-Dec, -   , -   , -   ,"1,498"
294,0,0,0,1497.666667,,,,8-Dec, -   , -   , -   ,"1,498"
295,0,0,0,1497.666667,,,,9-Dec, -   , -   , -   ,"1,498"
296,0,0,0,1497.666667,,,,10-Dec, -   , -   , -   ,"1,498"
297,0,0,0,1497.666667,,,,11-Dec, -   , -   , -   ,"1,498"
298,0,0,0,1497.666667,,,,12-Dec, -   , -   , -   ,"1,498"
299,0,0,0,1497.666667,,,,13-Dec, -   , -   , -   ,"1,707"
300,0,0,0,1497.666667,,,,14-Dec,0.35,79,5,"1,279"
301,0,0,0,1707,,,,15-Dec,,,,
Grand Total,0.352911291,78.97054916,4.975863596,1278.811337,,,,,,,,
