"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Containment Policy"
"04/02/2020 10:41:33:899 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-60","60"
"[run number]","Illness_period","SpatialDistance","Proportion_Isolating","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Bed_Capacity","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Send_to_Hospital","ProductionRate","Incubation_Period","Case_Isolation","Initial","ID_Rate","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = 10 ] * (Total_Population / 1000 / Population )","sum [ reserves ] of simuls with [ color != black ]"
"13","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","3","4997","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.29253333333333337","3.6666666666666665","0","7.363551706553027E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3304","6.5","0","7.623590814400853E7"
"1","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","2","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2234","7","0","7.297796881697817E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3227","9","0","7.508466934391977E7"
"11","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.333","9","0","7.588720640828714E7"
"14","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3282","6.5","0","7.216974406181335E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3267","9","0","7.595748711348195E7"
"9","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3269","9","0","7.355018303608285E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","2","4998","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.33575","5","0","7.288101057579054E7"
"16","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","4","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.32995","9","0","7.33099226812595E7"
