"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper NZ"
"04/13/2020 21:20:48:637 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ color = red and timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","30","2470","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4451","7.833333333333333","0","8352124.304472809","0","5","0","0","2","10","30","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","28","2472","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4397","8.107142857142858","0","8402077.926354555","0","6","0","0","2","11","28","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","35","2465","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4422","6.828571428571428","0","8129258.279311382","0","5","0","0","2","11","35","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","40","2460","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4374","6.975","3","8546805.704873296","0","8","0","0","2","9","40","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","6","39","2461","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4648666666666667","7.897435897435898","0","8593584.403813023","0","20","0","0","0","2","39","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","37","2463","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.46312","7.972972972972973","2","8652055.13664737","0","12","0","0","0","4","37","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","35","2465","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.45496","7.828571428571428","0","8344877.330819243","0","11","0","0","2","5","35","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","37","2463","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.45640000000000003","7.864864864864865","0","8153678.29463724","0","10","0","0","1","6","37","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","31","2469","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.45368","8.35483870967742","0","8395618.237229118","0","10","0","0","2","2","31","0"
"1","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.368","7.076923076923077","3","8394139.667240052","0","0","0","0","3","6","26","0"
