"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Wuhan"
"04/15/2020 22:16:39:301 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"6","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","53","2447","0","0","0","0","0","0","0","0","0","0","0","0","0.59128","8.660377358490566","0","8853948.317152781","0","23","0","0","1","1","53","0","0"
"1","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","3","50","2450","0","0","0","0","0","0","0","0","0","0","0","0","0.6103999999999999","7","0","8726844.202621385","0","0","0","0","1","18","50","0","0"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","53","2447","0","0","0","0","0","0","0","0","0","0","0","0","0.57936","8.415094339622641","2","8329734.367823223","0","18","0","0","2","0","53","0","0"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","54","2446","0","0","0","0","0","0","0","0","0","0","0","0","0.59256","8.5","3","8464016.427958189","0","21","0","0","0","3","54","0","0"
"4","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","53","2447","0","0","0","0","0","0","0","0","0","0","0","0","0.59824","8.39622641509434","1","8732286.817144029","0","23","0","0","0","0","53","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","56","2444","0","0","0","0","0","0","0","0","0","0","0","0","0.56776","8.196428571428571","1","8801560.281970274","0","19","0","0","5","2","56","0","0"
"2","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","55","2445","0","0","0","0","0","0","0","0","0","0","0","0","0.58248","8.49090909090909","2","8628499.211182564","0","19","0","0","1","2","55","0","0"
"8","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","5","57","2443","0","0","0","0","0","0","0","0","0","0","0","0","0.57896","8.105263157894736","1","8529939.81606831","0","25","0","0","4","1","57","0","0"
"6","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","6","60","2440","0","0","0","0","0","0","0","0","0","0","0","0","0.5839333333333333","8.65","1","8844071.428640421","0","43","0","0","1","2","60","0","0"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","6","61","2439","0","0","0","0","0","0","0","0","0","0","0","0","0.576","8.311475409836065","4","8321454.191513153","0","43","0","0","2","1","61","0","0"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","6","58","2442","0","0","0","0","0","0","0","0","0","0","0","0","0.5877333333333333","8.913793103448276","1","8452624.358372988","0","42","0","0","0","1","58","0","0"
"4","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","6","55","2445","0","0","0","0","0","0","0","0","0","0","0","0","0.5945333333333334","9.090909090909092","0","8719471.351474205","0","44","0","0","0","0","55","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","6","58","2442","0","0","0","0","0","0","0","0","0","0","0","0","0.5640666666666666","8.913793103448276","3","8791914.475467315","0","43","0","0","5","0","58","0","0"
