"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Aus"
"04/14/2020 15:39:42:785 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","7","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4352571428571429","6","0","8117628.69290183","0","1","0","0","0","0","2","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.40808","10","0","8701294.783237142","0","1","0","0","0","0","1","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.41344000000000003","11","0","8784033.129365493","0","1","0","0","0","0","1","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","3","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.33813333333333334","7","0","8415557.403306654","0","0","0","0","0","0","2","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.42660000000000003","7","0","8253030.0936623","0","2","0","0","0","0","4","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","8","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.44605","7","0","8115891.136237648","0","1","0","0","0","0","2","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4236","6.5","0","8460322.794607108","0","1","0","0","0","0","2","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","7","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.4366285714285714","7.333333333333333","0","8564366.401163861","0","1","0","0","0","0","3","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.378","8","0","8413204.155201968","0","0","0","0","0","2","2","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.42606666666666665","12","0","8781079.418223783","0","1","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","9","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4554222222222222","8","0","8112914.133039037","0","1","0","0","0","0","2","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.42639999999999995","11","0","8698633.833136212","0","1","0","0","0","0","1","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","7","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.4421714285714286","8","2","8250545.953238086","0","2","0","0","0","0","4","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.42113333333333336","9.5","0","8619271.325315883","0","1","0","0","0","0","2","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","7","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4362285714285714","7.5","0","8457995.331030915","0","1","0","0","0","0","2","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","8","5","2495","0","0","0","0","0","0","0","0","0","0","0","0","0.44645","5.4","0","8563725.721064191","0","1","0","0","0","1","5","0","1"
