"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Containment Policy"
"04/02/2020 22:22:49:104 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","SpatialDistance","Proportion_Isolating","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Bed_Capacity","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Send_to_Hospital","ProductionRate","Incubation_Period","Case_Isolation","Initial","ID_Rate","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","7","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.206","6.5","0","3.655392490447681E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","7","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2101714285714286","12","0","3.69577906135823E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","8","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21405","13","0","3.748519067976008E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","7","5","2495","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2037142857142857","8.4","0","3.720317686106829E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","5","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.18184","10","0","3.7226565146186456E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.20553333333333335","11","0","3.803317711995492E7"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","8","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21245","7.5","0","3.660202641677403E7"
"1","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","5","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.19944","6","0","3.845909874002674E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","9","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21924444444444446","14","0","3.746030308361242E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","8","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21575","13","0","3.699501055353209E7"
"7","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","6","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.20973333333333333","9","1","3.781995930547928E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","8","5","2495","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2081","9.4","1","3.7176970885447584E7"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","9","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21777777777777776","8.5","0","3.665810138692976E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","6","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.19286666666666666","11","0","3.7268488709667064E7"
"4","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","10","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","1","0.22111999999999998","15","0","3.738202835154216E7"
"8","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","7","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21222857142857143","12","0","3.8095512594519146E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","9","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2192888888888889","14","0","3.70463847550698E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","9","6","2494","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21337777777777778","8.833333333333334","0","3.714365623665708E7"
"1","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","2500","4","50","1","0","75","35","0","45","6","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.21246666666666666","5","0","3.851512448965806E7"
