Lockdown_Off2,FALSE,,,,,,Date,Mean R,New cases / day,Current Infections,Total Infections
198,0,0,0,8908.85,,,3-Aug,0.00,0,0,8908.85
199,0,0,0,8908.85,,,4-Aug,0.00,0,0,8908.85
200,0,0,0,8908.85,,,5-Aug,0.00,0,0,8908.85
201,0,0,0,8908.85,,,6-Aug,0.00,0,0,8908.85
202,0,0,0,8908.85,,,7-Aug,0.00,0,0,8908.85
203,0,0,0,8908.85,,,8-Aug,0.00,0,0,8908.85
204,0,0,0,8908.85,,,9-Aug,0.00,0,0,8908.85
205,0,0,0,8908.85,,,10-Aug,0.00,0,0,8908.85
206,0,0,0,8908.85,,,11-Aug,0.00,0,0,8908.85
207,0,0,0,8908.85,,,12-Aug,0.00,0,0,8908.85
208,0,0,0,8908.85,,,13-Aug,0.00,0,0,8908.85
209,0,0,0,8908.85,,,14-Aug,0.00,0,0,8908.85
210,0,0,0,8908.85,,,15-Aug,0.00,0,0,8908.85
211,0,0,0,8908.85,,,16-Aug,0.00,0,0,8908.85
212,0,0,0,8908.85,,,17-Aug,0.00,0,0,8908.85
213,0,0,0,8908.85,,,18-Aug,0.00,0,0,8908.85
214,0,0,0,8908.85,,,19-Aug,0.00,0,0,8908.85
215,0,0,0,8908.85,,,20-Aug,0.00,0,0,8908.85
216,0,0,0,8908.85,,,21-Aug,0.00,0,0,8908.85
217,0,0,0,8908.85,,,22-Aug,0.00,0,0,8908.85
218,0,0,0,8908.85,,,23-Aug,0.00,0,0,8908.85
219,0,0,0,8908.85,,,24-Aug,0.00,0,0,8908.85
220,0,0,0,8908.85,,,25-Aug,0.00,0,0,8908.85
221,0,0,0,8908.85,,,26-Aug,0.00,0,0,8908.85
222,0,0,0,8908.85,,,27-Aug,0.00,0,0,8908.85
223,0,0,0,8908.85,,,28-Aug,0.00,0,0,8908.85
224,0,0,0,8908.85,,,29-Aug,0.00,0,0,8908.85
225,0,0,0,8908.85,,,30-Aug,0.00,0,0,8908.85
226,0,0,0,8908.85,,,31-Aug,0.00,0,0,8908.85
227,0,0,0,8908.85,,,1-Sep,0.00,0,0,8908.85
228,0,0,0,8908.85,,,2-Sep,0.00,0,0,8908.85
229,0,0,0,8908.85,,,3-Sep,0.00,0,0,8908.85
230,0,0,0,8908.85,,,4-Sep,0.00,0,0,8908.85
231,0,0,0,8908.85,,,5-Sep,0.00,0,0,8908.85
232,0,0,0,8908.85,,,6-Sep,0.00,0,0,8908.85
233,0,0,0,8908.85,,,7-Sep,0.00,0,0,8908.85
234,0,0,0,8908.85,,,8-Sep,0.00,0,0,8908.85
235,0,0,0,8908.85,,,9-Sep,0.00,0,0,8908.85
236,0,0,0,8908.85,,,10-Sep,0.00,0,0,8908.85
237,0,0,0,8908.85,,,11-Sep,0.00,0,0,8908.85
238,0,0,0,8908.85,,,12-Sep,0.00,0,0,8908.85
239,0,0,0,8908.85,,,13-Sep,0.00,0,0,8908.85
240,0,0,0,8908.85,,,14-Sep,0.00,0,0,8908.85
241,0,0,0,8908.85,,,15-Sep,0.00,0,0,8908.85
242,0,0,0,8908.85,,,16-Sep,0.00,0,0,8908.85
243,0,0,0,8908.85,,,17-Sep,0.00,0,0,8908.85
244,0,0,0,8908.85,,,18-Sep,0.00,0,0,8908.85
245,0,0,0,8908.85,,,19-Sep,0.00,0,0,8908.85
246,0,0,0,8908.85,,,20-Sep,0.00,0,0,8908.85
247,0,0,0,8908.85,,,21-Sep,0.00,0,0,8908.85
248,0,0,0,8908.85,,,22-Sep,0.00,0,0,8908.85
249,0,0,0,8908.85,,,23-Sep,0.00,0,0,8908.85
250,0,0,0,8908.85,,,24-Sep,0.00,0,0,8908.85
251,0,0,0,8908.85,,,25-Sep,0.00,0,0,8908.85
252,0,0,0,8908.85,,,26-Sep,0.00,0,0,8908.85
253,0,0,0,8908.85,,,27-Sep,0.00,0,0,8908.85
254,0,0,0,8908.85,,,28-Sep,0.00,0,0,8908.85
255,0,0,0,8908.85,,,29-Sep,0.00,0,0,8908.85
256,0,0,0,8908.85,,,30-Sep,0.00,0,0,8908.85
257,0,0,0,8908.85,,,1-Oct,0.00,0,0,8908.85
258,0,0,0,8908.85,,,2-Oct,0.00,0,0,8908.85
259,0,0,0,8908.85,,,3-Oct,0.00,0,0,8908.85
260,0,0,0,8908.85,,,4-Oct,0.00,0,0,8908.85
261,0,0,0,8908.85,,,5-Oct,0.00,0,0,8908.85
262,0,0,0,8908.85,,,6-Oct,0.00,0,0,8908.85
263,0,0,0,8908.85,,,7-Oct,0.00,0,0,8908.85
264,0,0,0,8908.85,,,8-Oct,0.00,0,0,8908.85
265,0,0,0,8908.85,,,9-Oct,0.00,0,0,8908.85
266,0,0,0,8908.85,,,10-Oct,0.00,0,0,8908.85
267,0,0,0,8908.85,,,11-Oct,0.00,0,0,8908.85
268,0,0,0,8908.85,,,12-Oct,0.00,0,0,8908.85
269,0,0,0,8908.85,,,13-Oct,0.00,0,0,8908.85
270,0,0,0,8908.85,,,14-Oct,0.00,0,0,8908.85
271,0,0,0,8908.85,,,15-Oct,0.00,0,0,8908.85
272,0,0,0,8908.85,,,16-Oct,0.00,0,0,8908.85
273,0,0,0,8908.85,,,17-Oct,0.00,0,0,8908.85
274,0,0,0,8908.85,,,18-Oct,0.00,0,0,8908.85
275,0,0,0,8908.85,,,19-Oct,0.00,0,0,8908.85
276,0,0,0,8908.85,,,20-Oct,0.00,0,0,8908.85
277,0,0,0,8908.85,,,21-Oct,0.00,0,0,8908.85
278,0,0,0,8908.85,,,22-Oct,0.00,0,0,8908.85
279,0,0,0,8908.85,,,23-Oct,0.00,0,0,8908.85
280,0,0,0,8908.85,,,24-Oct,0.00,0,0,8908.85
281,0,0,0,8908.85,,,25-Oct,0.00,0,0,8908.85
282,0,0,0,8908.85,,,26-Oct,0.00,0,0,8908.85
283,0,0,0,8908.85,,,27-Oct,0.00,0,0,8908.85
284,0,0,0,8908.85,,,28-Oct,0.00,0,0,8908.85
285,0,0,0,8908.85,,,29-Oct,0.00,0,0,8908.85
286,0,0,0,8908.85,,,30-Oct,0.00,0,0,8908.85
287,0,0,0,8908.85,,,31-Oct,0.00,0,0,8908.85
288,0,0,0,8908.85,,,1-Nov,0.00,0,0,8908.85
289,0,0,0,8908.85,,,2-Nov,0.00,0,0,8908.85
290,0,0,0,8908.85,,,3-Nov,0.00,0,0,8908.85
291,0,0,0,8908.85,,,4-Nov,0.00,0,0,8908.85
292,0,0,0,8908.85,,,5-Nov,0.00,0,0,8908.85
293,0,0,0,8908.85,,,6-Nov,0.00,0,0,8908.85
294,0,0,0,8908.85,,,7-Nov,0.00,0,0,8908.85
295,0,0,0,8908.85,,,8-Nov,0.00,0,0,8908.85
296,0,0,0,8908.85,,,9-Nov,0.00,0,0,8908.85
297,0,0,0,8908.85,,,10-Nov,0.00,0,0,8908.85
298,0,0,0,8908.85,,,11-Nov,0.00,0,0,8908.85
299,0,0,0,8908.85,,,,,,,
300,0,0,0,8908.85,,,,,,,
Grand Total,0.344749646,29.59750831,471.9503322,6686.858638,,,,,,,
