"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Aus"
"04/13/2020 21:29:52:739 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.42606666666666665","9","0","8715147.84165538","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.4114","6.333333333333333","1","8312470.367309641","0","1","0","0","0","0","3","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.4178","10","0","8537600.035555163","0","1","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.4234","11","0","8296701.51911187","0","1","0","0","0","0","1","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.43474285714285715","9","0","8380628.914347652","0","1","0","0","0","0","4","0","1"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.41766666666666663","12","0","8198774.433894475","0","1","0","0","0","0","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","6","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.41619999999999996","10.5","0","8807770.903473714","0","1","0","0","0","1","2","0","1"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3316","5","1","8316222.492942203","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.42588571428571426","7.333333333333333","0","8312278.635241396","0","1","0","0","0","0","3","0","1"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.43474285714285715","11","0","8536265.465755401","0","1","0","0","0","0","1","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.43977142857142854","10","0","8714467.994625717","0","1","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.4349142857142857","12","0","8295014.542574972","0","1","0","0","0","0","1","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.43074285714285715","7","0","8195756.922182943","0","1","0","0","0","0","2","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","8","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.44345","10","0","8379475.652369541","0","1","0","0","0","0","4","0","1"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","7","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.42914285714285716","11.5","0","8807204.954753561","0","1","0","0","0","0","2","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","8","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.4347","6.5","0","8310190.504734545","0","1","0","0","0","0","4","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","8","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.4491","11","0","8711139.887763517","0","1","0","0","0","0","1","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3784","6","0","8313401.213865296","0","0","0","0","0","0","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","8","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4447","6.5","0","8534804.91159661","0","1","0","0","0","0","2","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","8","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.43845","5.666666666666667","0","8193703.195945112","0","1","0","0","0","0","3","0","1"
